,folder,no,sl0,sl1,sl2,dur,diff
0,Actual Test 01,37,25.706,23.394,17.224,"[(0, 2301, 2301), (2301, 5134, 2833), (5134, 9274, 4140), (9274, 10657, 1383), (10657, 11409, 752), (11409, 14760, 3351), (14760, 16588, 1828), (16588, 19932, 3344), (19932, 21048, 1116), (21048, 25706, 4658), (25706, 28539, 2833), (28539, 32679, 4140), (32679, 34063, 1384), (34063, 34815, 752), (34815, 38165, 3350), (38165, 39994, 1829), (39994, 43337, 3343), (43337, 44454, 1117), (44454, 49100, 4646), (49100, 49964, 864), (49964, 52386, 2422), (52386, 53307, 921), (53307, 55811, 2504), (55811, 56775, 964), (56775, 59590, 2815), (59590, 60447, 857), (60447, 66324, 5877)]",2.312
1,Actual Test 01,41,24.617,22.244,15.492,"[(0, 2349, 2349), (2349, 3737, 1388), (3737, 7622, 3885), (7622, 9408, 1786), (9408, 13014, 3606), (13014, 14127, 1113), (14127, 19294, 5167), (19294, 20266, 972), (20266, 24617, 4351), (24617, 26005, 1388), (26005, 29890, 3885), (29890, 31676, 1786), (31676, 35282, 3606), (35282, 36395, 1113), (36395, 41562, 5167), (41562, 42534, 972), (42534, 46861, 4327), (46861, 47822, 961), (47822, 49966, 2144), (49966, 50764, 798), (50764, 52813, 2049), (52813, 53912, 1099), (53912, 55794, 1882), (55794, 56768, 974), (56768, 62353, 5585)]",2.373
2,Actual Test 01,42,36.224,33.942,18.702,"[(0, 2276, 2276), (2276, 10026, 7750), (10026, 13001, 2975), (13001, 18247, 5246), (18247, 20207, 1960), (20207, 26402, 6195), (26402, 29929, 3527), (29929, 31015, 1086), (31015, 36224, 5209), (36224, 43974, 7750), (43974, 46948, 2974), (46948, 52195, 5247), (52195, 54155, 1960), (54155, 60350, 6195), (60350, 63876, 3526), (63876, 64963, 1087), (64963, 70166, 5203), (70166, 70926, 760), (70926, 73582, 2656), (73582, 74670, 1088), (74670, 78125, 3455), (78125, 79161, 1036), (79161, 81769, 2608), (81769, 82569, 800), (82569, 88868, 6299)]",2.282
3,Actual Test 01,44,32.212,30.042,21.441,"[(0, 2236, 2236), (2236, 6236, 4000), (6236, 10232, 3996), (10232, 13001, 2769), (13001, 16599, 3598), (16599, 19567, 2968), (19567, 21187, 1620), (21187, 26568, 5381), (26568, 27812, 1244), (27812, 32212, 4400), (32212, 36213, 4001), (36213, 40209, 3996), (40209, 42978, 2769), (42978, 46576, 3598), (46576, 49544, 2968), (49544, 51164, 1620), (51164, 56544, 5380), (56544, 57789, 1245), (57789, 62254, 4465), (62254, 63232, 978), (63232, 66849, 3617), (66849, 67870, 1021), (67870, 71237, 3367), (71237, 72350, 1113), (72350, 75693, 3343), (75693, 76742, 1049), (76742, 83695, 6953)]",2.17
4,Actual Test 01,45,29.966,27.691,20.997,"[(0, 2288, 2288), (2288, 5141, 2853), (5141, 7099, 1958), (7099, 9283, 2184), (9283, 12261, 2978), (12261, 13198, 937), (13198, 15693, 2495), (15693, 18546, 2853), (18546, 23613, 5067), (23613, 24652, 1039), (24652, 29966, 5314), (29966, 32819, 2853), (32819, 34777, 1958), (34777, 36961, 2184), (36961, 39939, 2978), (39939, 40876, 937), (40876, 43371, 2495), (43371, 46224, 2853), (46224, 51291, 5067), (51291, 52330, 1039), (52330, 57657, 5327), (57657, 58564, 907), (58564, 61340, 2776), (61340, 62240, 900), (62240, 65915, 3675), (65915, 66924, 1009), (66924, 70768, 3844), (70768, 71611, 843), (71611, 78654, 7043)]",2.275
5,Actual Test 01,52,48.787,47.65,27.435,"[(0, 2236, 2236), (2236, 6160, 3924), (6160, 11635, 5475), (11635, 12939, 1304), (12939, 14851, 1912), (14851, 23326, 8475), (23326, 24159, 833), (24159, 33210, 9051), (33210, 43784, 10574), (43784, 44726, 942), (44726, 48787, 4061), (48787, 58497, 9710), (58497, 60064, 1567), (60064, 70935, 10871), (70935, 71978, 1043), (71978, 80667, 8689), (80667, 81773, 1106), (81773, 85153, 3380), (85153, 91406, 6253), (91406, 92513, 1107), (92513, 96437, 3924), (96437, 97388, 951), (97388, 101984, 4596), (101984, 103066, 1082), (103066, 107739, 4673), (107739, 108871, 1132), (108871, 114494, 5623), (114494, 115490, 996), (115490, 123872, 8382)]",1.137
6,Actual Test 01,56,34.291,33.144,18.925,"[(0, 2476, 2476), (2476, 6782, 4306), (6782, 11965, 5183), (11965, 12509, 544), (12509, 15352, 2843), (15352, 20201, 4849), (20201, 20977, 776), (20977, 28495, 7518), (28495, 29526, 1031), (29526, 34291, 4765), (34291, 38920, 4629), (38920, 47606, 8686), (47606, 52623, 5017), (52623, 61441, 8818), (61441, 62522, 1081), (62522, 67435, 4913), (67435, 68374, 939), (68374, 71013, 2639), (71013, 71895, 882), (71895, 74631, 2736), (74631, 75702, 1071), (75702, 79022, 3320), (79022, 80092, 1070), (80092, 86360, 6268)]",1.147
7,Actual Test 01,57,36.051,34.984,22.639,"[(0, 2315, 2315), (2315, 7249, 4934), (7249, 11551, 4302), (11551, 14879, 3328), (14879, 20282, 5403), (20282, 30906, 10624), (30906, 31832, 926), (31832, 36051, 4219), (36051, 41075, 5024), (41075, 44868, 3793), (44868, 47996, 3128), (47996, 50923, 2927), (50923, 54078, 3155), (54078, 65634, 11556), (65634, 66749, 1115), (66749, 71035, 4286), (71035, 71875, 840), (71875, 75132, 3257), (75132, 75978, 846), (75978, 80340, 4362), (80340, 81345, 1005), (81345, 85687, 4342), (85687, 86679, 992), (86679, 93674, 6995)]",1.067
8,Actual Test 01,59,38.502,37.111,26.473,"[(0, 2318, 2318), (2318, 4736, 2418), (4736, 9806, 5070), (9806, 21616, 11810), (21616, 28000, 6384), (28000, 32379, 4379), (32379, 33415, 1036), (33415, 38502, 5087), (38502, 40852, 2350), (40852, 48685, 7833), (48685, 54094, 5409), (54094, 55746, 1652), (55746, 57702, 1956), (57702, 64392, 6690), (64392, 69026, 4634), (69026, 70330, 1304), (70330, 75613, 5283), (75613, 76538, 925), (76538, 81481, 4943), (81481, 82366, 885), (82366, 87041, 4675), (87041, 88109, 1068), (88109, 93156, 5047), (93156, 93922, 766), (93922, 102086, 8164)]",1.391
9,Actual Test 01,60,32.212,31.214,26.565,"[(0, 2046, 2046), (2046, 6635, 4589), (6635, 15097, 8462), (15097, 20979, 5882), (20979, 23978, 2999), (23978, 27102, 3124), (27102, 28120, 1018), (28120, 32212, 4092), (32212, 36786, 4574), (36786, 45941, 9155), (45941, 52200, 6259), (52200, 54969, 2769), (54969, 58321, 3352), (58321, 59460, 1139), (59460, 63426, 3966), (63426, 64573, 1147), (64573, 69613, 5040), (69613, 70438, 825), (70438, 75164, 4726), (75164, 76355, 1191), (76355, 80354, 3999), (80354, 81499, 1145), (81499, 89991, 8492)]",0.998
