,folder,no,sl0,sl1,sl2,dur,diff
0,서울대 최신기출 1,37,26.488,24.121,22.246,"[(0, 2039, 2039), (2039, 6315, 4276), (6315, 8209, 1894), (8209, 11547, 3338), (11547, 14249, 2702), (14249, 17981, 3732), (17981, 22063, 4082), (22063, 23062, 999), (23062, 26488, 3426), (26488, 30618, 4130), (30618, 32421, 1803), (32421, 35666, 3245), (35666, 38244, 2578), (38244, 42029, 3785), (42029, 42828, 799), (42828, 46204, 3376), (46204, 47185, 981), (47185, 50609, 3424), (50609, 51604, 995), (51604, 55457, 3853), (55457, 56383, 926), (56383, 60390, 4007), (60390, 61359, 969), (61359, 65307, 3948), (65307, 66257, 950), (66257, 72855, 6598)]",2.367
1,서울대 최신기출 1,41,31.282,29.193,21.94,"[(0, 1939, 1939), (1939, 6544, 4605), (6544, 8255, 1711), (8255, 10483, 2228), (10483, 13182, 2699), (13182, 14665, 1483), (14665, 17910, 3245), (17910, 21306, 3396), (21306, 26146, 4840), (26146, 27155, 1009), (27155, 31282, 4127), (31282, 35805, 4523), (35805, 39875, 4070), (39875, 42661, 2786), (42661, 44124, 1463), (44124, 47325, 3201), (47325, 50341, 3016), (50341, 55230, 4889), (55230, 56253, 1023), (56253, 60475, 4222), (60475, 61337, 862), (61337, 64600, 3263), (64600, 65497, 897), (65497, 68932, 3435), (68932, 69879, 947), (69879, 74113, 4234), (74113, 75092, 979), (75092, 82415, 7323)]",2.089
2,서울대 최신기출 1,42,30.689,28.199,21.49,"[(0, 2035, 2035), (2035, 5625, 3590), (5625, 8151, 2526), (8151, 10682, 2531), (10682, 15197, 4515), (15197, 18728, 3531), (18728, 25335, 6607), (25335, 26409, 1074), (26409, 30689, 4280), (30689, 34136, 3447), (34136, 36657, 2521), (36657, 39182, 2525), (39182, 43733, 4551), (43733, 47026, 3293), (47026, 53522, 6496), (53522, 54625, 1103), (54625, 58888, 4263), (58888, 59804, 916), (59804, 63240, 3436), (63240, 64174, 934), (64174, 67496, 3322), (67496, 68479, 983), (68479, 72209, 3730), (72209, 73178, 969), (73178, 80378, 7200)]",2.49
3,서울대 최신기출 1,44,24.395,22.329,20.645,"[(0, 1997, 1997), (1997, 4168, 2171), (4168, 6117, 1949), (6117, 7785, 1668), (7785, 9930, 2145), (9930, 11489, 1559), (11489, 15075, 3586), (15075, 19181, 4106), (19181, 20281, 1100), (20281, 24395, 4114), (24395, 26626, 2231), (26626, 28481, 1855), (28481, 30148, 1667), (30148, 32293, 2145), (32293, 33845, 1552), (33845, 35472, 1627), (35472, 37558, 2086), (37558, 41586, 4028), (41586, 42683, 1097), (42683, 46724, 4041), (46724, 47620, 896), (47620, 50837, 3217), (50837, 51785, 948), (51785, 54675, 2890), (54675, 55661, 986), (55661, 59344, 3683), (59344, 60304, 960), (60304, 67369, 7065)]",2.066
4,서울대 최신기출 1,45,24.843,22.569,19.669,"[(0, 2075, 2075), (2075, 5094, 3019), (5094, 7989, 2895), (7989, 10231, 2242), (10231, 12826, 2595), (12826, 16088, 3262), (16088, 19988, 3900), (19988, 20971, 983), (20971, 24843, 3872), (24843, 27681, 2838), (27681, 30594, 2913), (30594, 32785, 2191), (32785, 35380, 2595), (35380, 38636, 3256), (38636, 42543, 3907), (42543, 43551, 1008), (43551, 47412, 3861), (47412, 48324, 912), (48324, 51591, 3267), (51591, 52480, 889), (52480, 55560, 3080), (55560, 56486, 926), (56486, 59759, 3273), (59759, 60687, 928), (60687, 67081, 6394)]",2.274
5,서울대 최신기출 1,52,37.224,37.529,21.455,"[(0, 2077, 2077), (2077, 9239, 7162), (9239, 13123, 3884), (13123, 20135, 7012), (20135, 22818, 2683), (22818, 31507, 8689), (31507, 32464, 957), (32464, 37224, 4760), (37224, 45036, 7812), (45036, 49199, 4163), (49199, 56766, 7567), (56766, 59731, 2965), (59731, 69002, 9271), (69002, 70010, 1008), (70010, 74753, 4743), (74753, 75601, 848), (75601, 79526, 3925), (79526, 80433, 907), (80433, 83902, 3469), (83902, 84858, 956), (84858, 88518, 3660), (88518, 89446, 928), (89446, 96208, 6762)]",0.305
6,서울대 최신기출 1,56,41.194,41.137,22.079,"[(0, 2140, 2140), (2140, 4685, 2545), (4685, 12123, 7438), (12123, 17126, 5003), (17126, 25902, 8776), (25902, 30501, 4599), (30501, 35472, 4971), (35472, 36466, 994), (36466, 41194, 4728), (41194, 51710, 10516), (51710, 56674, 4964), (56674, 66283, 9609), (66283, 76579, 10296), (76579, 77574, 995), (77574, 82331, 4757), (82331, 83214, 883), (83214, 87135, 3921), (87135, 87998, 863), (87998, 91807, 3809), (91807, 92703, 896), (92703, 96941, 4238), (96941, 97874, 933), (97874, 104410, 6536)]",0.057
7,서울대 최신기출 1,57,46.372,42.32,26.507,"[(0, 2183, 2183), (2183, 11236, 9053), (11236, 13975, 2739), (13975, 27139, 13164), (27139, 31100, 3961), (31100, 41424, 10324), (41424, 42545, 1121), (42545, 46372, 3827), (46372, 54464, 8092), (54464, 56915, 2451), (56915, 59839, 2924), (59839, 66186, 6347), (66186, 69675, 3489), (69675, 73703, 4028), (73703, 76649, 2946), (76649, 83787, 7138), (83787, 84865, 1078), (84865, 88692, 3827), (88692, 89568, 876), (89568, 94478, 4910), (94478, 95404, 926), (95404, 101116, 5712), (101116, 102126, 1010), (102126, 107738, 5612), (107738, 108687, 949), (108687, 115199, 6512)]",4.052
8,서울대 최신기출 1,59,42.618,37.933,25.636,"[(0, 2034, 2034), (2034, 10153, 8119), (10153, 13050, 2897), (13050, 18514, 5464), (18514, 21878, 3364), (21878, 24669, 2791), (24669, 35235, 10566), (35235, 36346, 1111), (36346, 42618, 6272), (42618, 50078, 7460), (50078, 52633, 2555), (52633, 60963, 8330), (60963, 63634, 2671), (63634, 73429, 9795), (73429, 74552, 1123), (74552, 80551, 5999), (80551, 81471, 920), (81471, 85989, 4518), (85989, 86958, 969), (86958, 91909, 4951), (91909, 92914, 1005), (92914, 97377, 4463), (97377, 98360, 983), (98360, 106187, 7827)]",4.685
9,서울대 최신기출 1,60,38.548,39.281,25.526,"[(0, 1870, 1870), (1870, 10370, 8500), (10370, 17881, 7511), (17881, 26606, 8725), (26606, 33995, 7389), (33995, 34975, 980), (34975, 38548, 3573), (38548, 47645, 9097), (47645, 55736, 8091), (55736, 65345, 9609), (65345, 73221, 7876), (73221, 74247, 1026), (74247, 77829, 3582), (77829, 78687, 858), (78687, 83158, 4471), (83158, 84058, 900), (84058, 88912, 4854), (88912, 89907, 995), (89907, 94824, 4917), (94824, 95794, 970), (95794, 103355, 7561)]",0.733
