,folder,no,sl0,sl1,sl2,dur,diff
0,1. 최신기출 TEST 1,37,26.171,24.278,21.805,"[(0, 2299, 2299), (2299, 5079, 2780), (5079, 6456, 1377), (6456, 9613, 3157), (9613, 12661, 3048), (12661, 14914, 2253), (14914, 17239, 2325), (17239, 21832, 4593), (21832, 22955, 1123), (22955, 26171, 3216), (26171, 28849, 2678), (28849, 30147, 1298), (30147, 33437, 3290), (33437, 36497, 3060), (36497, 38918, 2421), (38918, 41316, 2398), (41316, 42573, 1257), (42573, 45914, 3341), (45914, 47111, 1197), (47111, 50449, 3338), (50449, 51429, 980), (51429, 55279, 3850), (55279, 56278, 999), (56278, 60065, 3787), (60065, 61139, 1074), (61139, 64653, 3514), (64653, 65678, 1025), (65678, 72254, 6576)]",1.893
1,1. 최신기출 TEST 1,41,28.235,26.613,21.141,"[(0, 2273, 2273), (2273, 4890, 2617), (4890, 8211, 3321), (8211, 8870, 659), (8870, 10842, 1972), (10842, 13198, 2356), (13198, 15514, 2316), (15514, 16375, 861), (16375, 21691, 5316), (21691, 22881, 1190), (22881, 28235, 5354), (28235, 30531, 2296), (30531, 34081, 3550), (34081, 34778, 697), (34778, 36789, 2011), (36789, 39387, 2598), (39387, 41863, 2476), (41863, 42806, 943), (42806, 48217, 5411), (48217, 49414, 1197), (49414, 54848, 5434), (54848, 55825, 977), (55825, 59538, 3713), (59538, 60479, 941), (60479, 63458, 2979), (63458, 64571, 1113), (64571, 68420, 3849), (68420, 69475, 1055), (69475, 75989, 6514)]",1.622
2,1. 최신기출 TEST 1,42,32.349,29.766,20.509,"[(0, 2258, 2258), (2258, 5748, 3490), (5748, 8552, 2804), (8552, 12101, 3549), (12101, 13880, 1779), (13880, 15901, 2021), (15901, 20406, 4505), (20406, 25739, 5333), (25739, 26931, 1192), (26931, 32349, 5418), (32349, 35556, 3207), (35556, 38147, 2591), (38147, 41565, 3418), (41565, 43237, 1672), (43237, 45235, 1998), (45235, 49953, 4718), (49953, 55475, 5522), (55475, 56738, 1263), (56738, 62115, 5377), (62115, 63062, 947), (63062, 66380, 3318), (66380, 67436, 1056), (67436, 71068, 3632), (71068, 72224, 1156), (72224, 75523, 3299), (75523, 76568, 1045), (76568, 82624, 6056)]",2.583
3,1. 최신기출 TEST 1,44,27.684,25.77,21.02,"[(0, 2093, 2093), (2093, 7943, 5850), (7943, 11525, 3582), (11525, 13979, 2454), (13979, 16540, 2561), (16540, 20862, 4322), (20862, 22050, 1188), (22050, 27684, 5634), (27684, 30320, 2636), (30320, 33606, 3286), (33606, 37138, 3532), (37138, 39410, 2272), (39410, 42261, 2851), (42261, 46483, 4222), (46483, 47690, 1207), (47690, 53454, 5764), (53454, 54422, 968), (54422, 57747, 3325), (57747, 58759, 1012), (58759, 62755, 3996), (62755, 63885, 1130), (63885, 67263, 3378), (67263, 68293, 1030), (68293, 74474, 6181)]",1.914
4,1. 최신기출 TEST 1,45,31.669,29.445,22.634,"[(0, 2400, 2400), (2400, 5476, 3076), (5476, 8975, 3499), (8975, 12865, 3890), (12865, 16482, 3617), (16482, 19871, 3389), (19871, 21385, 1514), (21385, 22701, 1316), (22701, 25443, 2742), (25443, 26569, 1126), (26569, 31669, 5100), (31669, 34393, 2724), (34393, 37785, 3392), (37785, 41735, 3950), (41735, 45429, 3694), (45429, 49148, 3719), (49148, 50780, 1632), (50780, 54796, 4016), (54796, 56024, 1228), (56024, 61114, 5090), (61114, 62121, 1007), (62121, 66250, 4129), (66250, 67380, 1130), (67380, 71249, 3869), (71249, 72342, 1093), (72342, 76314, 3972), (76314, 77463, 1149), (77463, 83748, 6285)]",2.224
5,1. 최신기출 TEST 1,52,36.077,35.365,21.762,"[(0, 2220, 2220), (2220, 7912, 5692), (7912, 10777, 2865), (10777, 15441, 4664), (15441, 20023, 4582), (20023, 30075, 10052), (30075, 31177, 1102), (31177, 36077, 4900), (36077, 42607, 6530), (42607, 47311, 4704), (47311, 55350, 8039), (55350, 65208, 9858), (65208, 66474, 1266), (66474, 71442, 4968), (71442, 72427, 985), (72427, 76177, 3750), (76177, 77193, 1016), (77193, 80362, 3169), (80362, 81394, 1032), (81394, 85709, 4315), (85709, 86694, 985), (86694, 93204, 6510)]",0.712
6,1. 최신기출 TEST 1,56,32.828,30.874,22.762,"[(0, 2379, 2379), (2379, 7328, 4949), (7328, 13303, 5975), (13303, 18127, 4824), (18127, 27378, 9251), (27378, 28534, 1156), (28534, 32828, 4294), (32828, 43808, 10980), (43808, 48778, 4970), (48778, 52905, 4127), (52905, 58095, 5190), (58095, 59302, 1207), (59302, 63702, 4400), (63702, 64607, 905), (64607, 68942, 4335), (68942, 69949, 1007), (69949, 74021, 4072), (74021, 75060, 1039), (75060, 78538, 3478), (78538, 79568, 1030), (79568, 86464, 6896)]",1.954
7,1. 최신기출 TEST 1,57,42.819,39.479,21.329,"[(0, 2174, 2174), (2174, 6857, 4683), (6857, 13051, 6194), (13051, 17513, 4462), (17513, 19605, 2092), (19605, 24107, 4502), (24107, 31811, 7704), (31811, 36579, 4768), (36579, 37715, 1136), (37715, 42819, 5104), (42819, 47487, 4668), (47487, 53226, 5739), (53226, 58041, 4815), (58041, 60053, 2012), (60053, 64663, 4610), (64663, 65451, 788), (65451, 76937, 11486), (76937, 78158, 1221), (78158, 82298, 4140), (82298, 83262, 964), (83262, 86797, 3535), (86797, 87757, 960), (87757, 91119, 3362), (91119, 92114, 995), (92114, 95443, 3329), (95443, 96403, 960), (96403, 103627, 7224)]",3.34
8,1. 최신기출 TEST 1,59,39.225,36.913,22.369,"[(0, 2250, 2250), (2250, 8071, 5821), (8071, 14904, 6833), (14904, 18229, 3325), (18229, 22482, 4253), (22482, 29451, 6969), (29451, 34136, 4685), (34136, 35342, 1206), (35342, 39225, 3883), (39225, 44742, 5517), (44742, 51777, 7035), (51777, 53541, 1764), (53541, 59661, 6120), (59661, 70811, 11150), (70811, 72018, 1207), (72018, 76138, 4120), (76138, 77085, 947), (77085, 81117, 4032), (81117, 82108, 991), (82108, 86169, 4061), (86169, 87318, 1149), (87318, 90882, 3564), (90882, 91919, 1037), (91919, 98507, 6588)]",2.312
9,1. 최신기출 TEST 1,60,42.97,40.995,24.851,"[(0, 2055, 2055), (2055, 10745, 8690), (10745, 17443, 6698), (17443, 24560, 7117), (24560, 26899, 2339), (26899, 27719, 820), (27719, 36785, 9066), (36785, 37919, 1134), (37919, 42970, 5051), (42970, 46218, 3248), (46218, 51643, 5425), (51643, 58019, 6376), (58019, 61822, 3803), (61822, 68172, 6350), (68172, 77938, 9766), (77938, 79064, 1126), (79064, 83965, 4901), (83965, 84848, 883), (84848, 88838, 3990), (88838, 89873, 1035), (89873, 94380, 4507), (94380, 95392, 1012), (95392, 99806, 4414), (99806, 100790, 984), (100790, 108816, 8026)]",1.975
